actor_id,attack_id,tactic,technique,source_id,confidence,notes
G0069,T1566,Initial Access,Phishing,SRC-MITRE-G0069,High,"Common initial access path for public-sector and regional targeting."
G0069,T1059.001,Execution,PowerShell,SRC-MITRE-G0069,High,"Relevant to encoded command and script execution hunting."
G0069,T1219,Command and Control,Remote Access Software,SRC-MITRE-G0069,Medium-High,"Public reporting frequently associates Iran-linked operations with legitimate RMM abuse."
G0049,T1505.003,Persistence,Web Shell,SRC-MITRE-G0049,High,"Useful for Exchange/IIS and externally exposed web application monitoring."
G0049,T1049,Discovery,System Network Connections Discovery,SRC-MITRE-G0049,High,"Basic discovery after foothold."
G0059,T1566.002,Initial Access,Spearphishing Link,SRC-MITRE-G0059,High,"Credential phishing and fake login pages are central defensive concerns."
G0059,T1583.001,Resource Development,Acquire Domains,SRC-MITRE-G0059,High,"Typosquatting and impersonation infrastructure."
G1044,T1530,Collection,Data from Cloud Storage,SRC-MITRE-G1044,High,"Relevant to Microsoft 365 and cloud audit monitoring."
G1044,T1102,Command and Control,Web Service,SRC-MITRE-G1044,High,"Use of legitimate web services and cloud links complicates blocklists."
G1030,T1485,Impact,Data Destruction,SRC-MITRE-G1030,High,"Priority for backup and endpoint destructive-action analytics."
G1030,T1486,Impact,Data Encrypted for Impact,SRC-MITRE-G1030,High,"Ransomware-style destructive operations reported against Israeli entities."
CYBERAV3NGERS,T0811,Initial Access,Data from Information Repositories / ICS Access Abuse,SRC-CISA-AA23-335A,Medium,"ATT&CK for ICS mapping should be verified per environment; focus on exposed PLCs and default credentials."
COTTONSANDSTORM,T1585,Resource Development,Establish Accounts,SRC-MS-IRAN-IO,Medium,"Influence-operation infrastructure and persona staging."
G1028,T1456,Credential Access,Drive-by Compromise / Mobile Phishing,SRC-MITRE-G1028,Medium,"Mobile ATT&CK mapping depends on campaign details."
UNC3890,T1189,Initial Access,Drive-by Compromise,SRC-SECWEEK-UNC3890,Medium,"Reported watering-hole and social engineering lures."
CYBERTOUFAN,T1491,Impact,Defacement,SRC-MS-IRAN-HAMAS,Low-Medium,"Persona activity should be corroborated before operational attribution."
HANDALA,T1566,Initial Access,Phishing,SRC-AP-HANDALA,Medium-High,"Article assesses current-event lure and trusted-channel abuse patterns from public reporting."
HANDALA,T1204,Execution,User Execution,SRC-AP-HANDALA,Medium-High,"Installer/archive execution from user context is a priority detection path."
HANDALA,T1485,Impact,Data Destruction,SRC-AP-HANDALA,Medium-High,"Wiper/destructive behavior is treated as a priority defensive scenario."
HANDALA,T1490,Impact,Inhibit System Recovery,SRC-AP-HANDALA,Medium,"Hunt for backup and recovery tampering during destructive-operation response."
HANDALA,T1567,Exfiltration,Exfiltration Over Web Service,SRC-AP-HANDALA,Medium,"Commercial hosting and file-sharing references should be correlated with local telemetry."
HANDALA,T1078.004,Initial Access,Valid Accounts: Cloud Accounts,SRC-PUSH-STRYKER-HANDALA,Medium-High,"Stryker report describes compromised Global Administrator credentials and Intune abuse."
HANDALA,T1485,Impact,Data Destruction,SRC-PUSH-STRYKER-HANDALA,Medium-High,"Intune Remote Wipe abuse is tracked as identity-plane destructive action."
G0069,T1567.002,Exfiltration,Exfiltration to Cloud Storage,SRC-THREAT-HUNTER-V3,Medium,"Rclone exfiltration to cloud storage sinks should be hunted as behavior."
CYBERTOUFAN,T1595,Reconnaissance,Active Scanning,SRC-OPI-CYBER-TOUFAN,Medium-High,"Cyber Toufan playbook emphasizes exposed VPN/firewall/admin interface discovery."
CYBERTOUFAN,T1021.002,Lateral Movement,SMB/Windows Admin Shares,SRC-OPI-CYBER-TOUFAN,Medium-High,"Native SMB lateral movement is a priority hunt path."
LEBANESECEDAR,T1190,Initial Access,Exploit Public-Facing Application,SRC-CLEARSKY-LEBANESE-CEDAR,Medium-High,"ClearSky reporting describes exploitation of unpatched public-facing Oracle and Atlassian servers."
LEBANESECEDAR,T1505.003,Persistence,Web Shell,SRC-CLEARSKY-LEBANESE-CEDAR,Medium-High,"Caterpillar WebShell/JSP file browser should drive web server hunts."
G1028,T1204.002,Execution,User Execution: Malicious File,SRC-ESET-ARIDSPY,Medium-High,"Trojanized APK sideloading is the core mobile execution path."
